Iteration: χI = 3.000018166363357; χS = 1.2; χE = 0.8999999999999999; λ = 1.08; ν = 0.04958
; ζ = 0.4; κ = 0.2; sFromS = 0.1; sFromE = 0.059500000000000004
Iteration: χI = 2.999981833636643; χS = 1.2; χE = 0.8999999999999999; λ = 1.08; ν = 0.04958
; ζ = 0.4; κ = 0.2; sFromS = 0.1; sFromE = 0.059500000000000004
Iteration: χI = 3.000018166363357; χS = 1.2; χE = 0.8999999999999999; λ = 1.08; ν = 0.04958
; ζ = 0.4; κ = 0.2; sFromS = 0.1; sFromE = 0.059500000000000004
Iteration: χI = 2.999981833636643; χS = 1.2; χE = 0.8999999999999999; λ = 1.08; ν = 0.04958
; ζ = 0.4; κ = 0.2; sFromS = 0.1; sFromE = 0.059500000000000004
Iteration: χI = 3.000018166363357; χS = 1.2; χE = 0.8999999999999999; λ = 1.08; ν = 0.04958
; ζ = 0.4; κ = 0.2; sFromS = 0.1; sFromE = 0.059500000000000004
Iteration: χI = 2.999981833636643; χS = 1.2; χE = 0.8999999999999999; λ = 1.08; ν = 0.04958
; ζ = 0.4; κ = 0.2; sFromS = 0.1; sFromE = 0.059500000000000004
Iteration: χI = 2.999981833636643; χS = 1.2; χE = 0.8999999999999999; λ = 1.08; ν = 0.04958
; ζ = 0.4; κ = 0.2; sFromS = 0.1; sFromE = 0.059500000000000004
Iteration: χI = 2.999981833636643; χS = 1.2; χE = 0.8999999999999999; λ = 1.08; ν = 0.04958
; ζ = 0.4; κ = 0.2; sFromS = 0.1; sFromE = 0.059500000000000004
Iteration: χI = 2.999981833636643; χS = 1.2; χE = 0.8999999999999999; λ = 1.08; ν = 0.04958
; ζ = 0.4; κ = 0.2; sFromS = 0.1; sFromE = 0.059500000000000004
Iteration: χI = 2.999981833636643; χS = 1.2; χE = 0.8999999999999999; λ = 1.08; ν = 0.04958
; ζ = 0.4; κ = 0.2; sFromS = 0.1; sFromE = 0.059500000000000004
Iteration: χI = 2.999981833636643; χS = 1.2; χE = 0.8999999999999999; λ = 1.08; ν = 0.04958
; ζ = 0.4; κ = 0.2; sFromS = 0.1; sFromE = 0.059500000000000004
Iteration: χI = 2.999981833636643; χS = 1.2; χE = 0.8999999999999999; λ = 1.08; ν = 0.04958
; ζ = 0.4; κ = 0.2; sFromS = 0.1; sFromE = 0.059500000000000004
Iteration: χI = 2.999981833636643; χS = 1.2; χE = 0.8999999999999999; λ = 1.08; ν = 0.04958
; ζ = 0.4; κ = 0.2; sFromS = 0.1; sFromE = 0.059500000000000004
Iteration: χI = 2.999981833636643; χS = 1.2; χE = 0.8999999999999999; λ = 1.08; ν = 0.04958
; ζ = 0.4; κ = 0.2; sFromS = 0.1; sFromE = 0.059500000000000004
Iteration: χI = 2.999981833636643; χS = 1.2; χE = 0.8999999999999999; λ = 1.08; ν = 0.04958
; ζ = 0.4; κ = 0.2; sFromS = 0.1; sFromE = 0.059500000000000004
Iteration: χI = 3.000018166363357; χS = 1.2; χE = 0.8999999999999999; λ = 1.08; ν = 0.04958
; ζ = 0.4; κ = 0.2; sFromS = 0.1; sFromE = 0.059500000000000004
Iteration: χI = 2.999981833636643; χS = 1.2; χE = 0.8999999999999999; λ = 1.08; ν = 0.04958
; ζ = 0.4; κ = 0.2; sFromS = 0.1; sFromE = 0.059500000000000004
Iteration: χI = 3.0; χS = 1.2000072665453427; χE = 0.9000054499090071; λ = 1.08; ν = 0.04958
; ζ = 0.4; κ = 0.2; sFromS = 0.1; sFromE = 0.059500000000000004
Iteration: χI = 3.0; χS = 1.1999927334546572; χE = 0.8999945500909929; λ = 1.08; ν = 0.04958
; ζ = 0.4; κ = 0.2; sFromS = 0.1; sFromE = 0.059500000000000004
Iteration: χI = 3.0; χS = 1.2; χE = 0.9000072665453429; λ = 1.08; ν = 0.04958
; ζ = 0.4; κ = 0.2; sFromS = 0.1; sFromE = 0.059500000000000004
Iteration: χI = 3.0; χS = 1.2; χE = 0.899992733454657; λ = 1.08; ν = 0.04958
; ζ = 0.4; κ = 0.2; sFromS = 0.1; sFromE = 0.059500000000000004
Iteration: χI = 3.0; χS = 1.2; χE = 0.8999999999999999; λ = 1.0800065398908087; ν = 0.04958
