Iteration: ρ = 0.05000605545445239; χI = 4.01502; χS = 1.928; χE = 1.5; λ = 1.05; ν = 0.05
Iteration: ρ = 0.04999394454554761; χI = 4.01502; χS = 1.928; χE = 1.5; λ = 1.05; ν = 0.05
Iteration: ρ = 0.05; χI = 4.015044312770735; χS = 1.928; χE = 1.5; λ = 1.05; ν = 0.05
Iteration: ρ = 0.05; χI = 4.0149956872292645; χS = 1.928; χE = 1.5; λ = 1.05; ν = 0.05
Iteration: ρ = 0.05; χI = 4.01502; χS = 1.9280116749161842; χE = 1.5000090831816786; λ = 1.05; ν = 0.05
Iteration: ρ = 0.05; χI = 4.01502; χS = 1.9279883250838157; χE = 1.4999909168183214; λ = 1.05; ν = 0.05
Iteration: ρ = 0.05; χI = 4.01502; χS = 1.928; χE = 1.5000116749161843; λ = 1.05; ν = 0.05
Iteration: ρ = 0.05; χI = 4.01502; χS = 1.928; χE = 1.4999883250838157; λ = 1.05; ν = 0.05
Iteration: ρ = 0.05; χI = 4.01502; χS = 1.928; χE = 1.5; λ = 1.050006358227175; ν = 0.05
Iteration: ρ = 0.05; χI = 4.01502; χS = 1.928; χE = 1.5; λ = 1.049993641772825; ν = 0.05
Iteration: ρ = 0.05; χI = 4.01502; χS = 1.928; χE = 1.5; λ = 1.05; ν = 0.05000605545445239
Iteration: ρ = 0.05; χI = 4.01502; χS = 1.928; χE = 1.5; λ = 1.05; ν = 0.04999394454554761
Iteration: ρ = 0.05000605545445239; χI = 4.01502; χS = 1.928; χE = 1.5; λ = 1.05; ν = 0.05
Iteration: ρ = 0.04999394454554761; χI = 4.01502; χS = 1.928; χE = 1.5; λ = 1.05; ν = 0.05
Iteration: ρ = 0.05; χI = 4.015044312770735; χS = 1.928; χE = 1.5; λ = 1.05; ν = 0.05
Iteration: ρ = 0.05; χI = 4.0149956872292645; χS = 1.928; χE = 1.5; λ = 1.05; ν = 0.05
Iteration: ρ = 0.05; χI = 4.01502; χS = 1.9280116749161842; χE = 1.5000090831816786; λ = 1.05; ν = 0.05
Iteration: ρ = 0.05; χI = 4.01502; χS = 1.9279883250838157; χE = 1.4999909168183214; λ = 1.05; ν = 0.05
Iteration: ρ = 0.05; χI = 4.01502; χS = 1.928; χE = 1.5000116749161843; λ = 1.05; ν = 0.05
Iteration: ρ = 0.05; χI = 4.01502; χS = 1.928; χE = 1.4999883250838157; λ = 1.05; ν = 0.05
Iteration: ρ = 0.05; χI = 4.01502; χS = 1.928; χE = 1.5; λ = 1.050006358227175; ν = 0.05
Iteration: ρ = 0.05; χI = 4.01502; χS = 1.928; χE = 1.5; λ = 1.049993641772825; ν = 0.05
Iteration: ρ = 0.05; χI = 4.01502; χS = 1.928; χE = 1.5; λ = 1.05; ν = 0.05000605545445239
Iteration: ρ = 0.05; χI = 4.01502; χS = 1.928; χE = 1.5; λ = 1.05; ν = 0.04999394454554761
Iteration: ρ = 0.05; χI = 4.01502; χS = 1.928; χE = 1.5; λ = 1.05; ν = 0.05
Iteration: ρ = 0.05000605545445239; χI = 4.01502; χS = 1.928; χE = 1.5; λ = 1.05; ν = 0.05
Iteration: ρ = 0.04999394454554761; χI = 4.01502; χS = 1.928; χE = 1.5; λ = 1.05; ν = 0.05
Iteration: ρ = 0.05; χI = 4.015044312770735; χS = 1.928; χE = 1.5; λ = 1.05; ν = 0.05
Iteration: ρ = 0.05; χI = 4.0149956872292645; χS = 1.928; χE = 1.5; λ = 1.05; ν = 0.05
Iteration: ρ = 0.05; χI = 4.01502; χS = 1.9280116749161842; χE = 1.5000090831816786; λ = 1.05; ν = 0.05
Iteration: ρ = 0.05; χI = 4.01502; χS = 1.9279883250838157; χE = 1.4999909168183214; λ = 1.05; ν = 0.05
Iteration: ρ = 0.05; χI = 4.01502; χS = 1.928; χE = 1.5000116749161843; λ = 1.05; ν = 0.05
Iteration: ρ = 0.05; χI = 4.01502; χS = 1.928; χE = 1.4999883250838157; λ = 1.05; ν = 0.05
Iteration: ρ = 0.05; χI = 4.01502; χS = 1.928; χE = 1.5; λ = 1.050006358227175; ν = 0.05
Iteration: ρ = 0.05; χI = 4.01502; χS = 1.928; χE = 1.5; λ = 1.049993641772825; ν = 0.05
